time,tag,tr,flag,tell
2024-11-03 16:56:50.207589,ct,,,start
2024-11-03 16:56:51.016473,ct,,omission error,f6
2024-11-03 16:56:51.822605,mt,,correct omission,f5
2024-11-03 16:56:52.625829,ct,,omission error,f6
2024-11-03 16:56:53.427612,ct,,omission error,f6
2024-11-03 16:56:54.231353,ct,,omission error,f6
2024-11-03 16:56:55.039322,ct,,omission error,f6
2024-11-03 16:56:55.843122,ct,,omission error,f6
2024-11-03 16:56:56.644402,ct,,omission error,f6
2024-11-03 16:56:57.449687,ct,,omission error,f6
2024-11-03 16:56:58.254570,mt,,correct omission,f5
2024-11-03 16:56:59.062922,ct,,omission error,f6
2024-11-03 16:56:59.866081,ct,,omission error,f6
2024-11-03 16:57:00.666470,ct,,omission error,f6
2024-11-03 16:57:01.478117,ct,,omission error,f6
2024-11-03 16:57:02.276536,ct,,omission error,f6
2024-11-03 16:57:03.019374,click,,,f2
2024-11-03 16:57:03.078490,ct,0.742838,correct comission,f2
2024-11-03 16:57:03.839614,click,,,f2
2024-11-03 16:57:03.879387,ct,0.761124,correct comission,f2
2024-11-03 16:57:04.554290,click,,,f2
2024-11-03 16:57:04.679070,ct,0.674903,correct comission,f2
2024-11-03 16:57:05.436118,click,,,f2
2024-11-03 16:57:05.479076,ct,0.757048,correct comission,f2
2024-11-03 16:57:06.312217,click,,,f2
2024-11-03 16:57:06.279193,ct,0.833141,correct comission,f2
2024-11-03 16:57:07.097056,click,,,f2
2024-11-03 16:57:07.084899,ct,0.817863,correct comission,f2
2024-11-03 16:57:07.932460,click,,,f2
2024-11-03 16:57:07.887143,ct,0.847561,correct comission,f2
2024-11-03 16:57:08.657620,click,,,f2
2024-11-03 16:57:08.685565,ct,0.770477,correct comission,f2
2024-11-03 16:57:09.423914,click,,,f2
2024-11-03 16:57:09.483003,ct,0.738349,correct comission,f2
2024-11-03 16:57:10.272181,click,,,f4
2024-11-03 16:57:10.291646,mt,0.789178,comission error,f4
2024-11-03 16:57:11.097706,ct,,omission error,f6
2024-11-03 16:57:11.775613,click,,,f2
2024-11-03 16:57:11.901036,ct,0.677907,correct comission,f2
