time,tag,tr,flag,tell
2024-11-03 17:51:02.871707,ct,,,start
2024-11-03 17:51:03.897690,click,,,f2
2024-11-03 17:51:03.696593,ct,1.025983,correct comission,f2
2024-11-03 17:51:04.455045,click,,,f2
2024-11-03 17:51:04.500200,ct,0.758452,correct comission,f2
2024-11-03 17:51:05.261341,click,,,f2
2024-11-03 17:51:05.298052,ct,0.761141,correct comission,f2
2024-11-03 17:51:05.995950,click,,,f2
2024-11-03 17:51:06.098433,ct,0.697898,correct comission,f2
2024-11-03 17:51:06.811044,click,,,f2
2024-11-03 17:51:06.901323,ct,0.712611,correct comission,f2
2024-11-03 17:51:07.656638,click,,,f2
2024-11-03 17:51:07.704158,ct,0.755315,correct comission,f2
2024-11-03 17:51:08.441279,click,,,f2
2024-11-03 17:51:08.507216,ct,0.737121,correct comission,f2
2024-11-03 17:51:09.550158,click,,,f2
2024-11-03 17:51:09.306749,ct,1.042942,correct comission,f2
2024-11-03 17:51:10.038012,click,,,f2
2024-11-03 17:51:10.119227,ct,0.731263,correct comission,f2
2024-11-03 17:51:10.884443,click,,,f2
2024-11-03 17:51:10.921700,ct,0.765216,correct comission,f2
2024-11-03 17:51:11.668676,click,,,f2
2024-11-03 17:51:11.718455,ct,0.746976,correct comission,f2
2024-11-03 17:51:12.393061,click,,,f2
2024-11-03 17:51:12.517125,ct,0.674606,correct comission,f2
2024-11-03 17:51:13.289937,click,,,f2
2024-11-03 17:51:13.325142,ct,0.772812,correct comission,f2
2024-11-03 17:51:14.013202,click,,,f2
2024-11-03 17:51:14.124248,ct,0.68806,correct comission,f2
2024-11-03 17:51:14.903935,click,,,f4
2024-11-03 17:51:14.935159,mt,0.779687,comission error,f4
2024-11-03 17:51:15.733249,ct,,omission error,f6
2024-11-03 17:51:16.412941,click,,,f2
2024-11-03 17:51:16.538040,ct,0.679692,correct comission,f2
2024-11-03 17:51:17.157988,click,,,f2
2024-11-03 17:51:17.353948,ct,0.619948,correct comission,f2
2024-11-03 17:51:18.139385,click,,,f2
2024-11-03 17:51:18.156160,ct,0.785437,correct comission,f2
2024-11-03 17:51:19.018608,click,,,f2
2024-11-03 17:51:18.963866,ct,0.862448,correct comission,f2
2024-11-03 17:51:19.624404,click,,,f4
